valuvalue,time
24.00,135725
22.00,135726
21.00,135727
23.00,135728
27.00,135729
28.00,135730
23.00,135731
23.00,135732
21.00,135733
24.00,135734
26.00,135735
25.00,135736
26.00,135737
23.00,135738
21.00,135739
23.00,135740
25.00,135741
27.00,135742
26.00,135743
23.00,135744
22.00,135745
20.00,135746
26.00,135747
28.00,135748
27.00,135749
25.00,135750
22.00,135751
19.00,135752
26.00,135753
25.00,135754
28.00,135755
25.00,135756
22.00,135757
21.00,135758
23.00,135759
24.00,135760
28.00,135761
27.00,135762
24.00,135763
22.00,135764
22.00,135765
23.00,135766
25.00,135767
26.00,135768
25.00,135769
23.00,135770
21.00,135771
23.00,135772
25.00,135773
26.00,135774
26.00,135775
23.00,135776
20.00,147188
27.00,147189
24.00,147190
24.00,147191
24.00,147192
25.00,147193
26.00,147194
26.00,147195
26.00,147196
25.00,147197
25.00,147198
23.00,147199
21.00,147200
22.00,147201
21.00,147202
23.00,147203
26.00,147204
25.00,147205
27.00,147206
27.00,147207
27.00,147208
24.00,147209
23.00,147210
20.00,147211
20.00,147212
21.00,147213
22.00,147214
26.00,147215
24.00,147216
27.00,147217
28.00,147218
26.00,147219
24.00,147220
23.00,147221
23.00,147222
22.00,147223
21.00,147224
21.00,147225
22.00,147226
24.00,147227
25.00,147228
27.00,147229
26.00,147230
29.00,147231
26.00,147232
24.00,147233
23.00,147234
22.00,147235
21.00,147236
21.00,147237
22.00,147238
22.00,147239
25.00,147240
27.00,147241
27.00,147242
27.00,147243
27.00,147244
23.00,147245
24.00,147246
22.00,147247
20.00,147248
21.00,147249
22.00,147250
23.00,147251
31.00,147252
26.00,147253
26.00,147254
27.00,147255
27.00,147256
26.00,147257
26.00,147258
23.00,147259
21.00,147260
21.00,147261
21.00,147262
22.00,147263
23.00,147264
25.00,147265
25.00,147266
27.00,147267
27.00,147268
29.00,147269
25.00,147270
25.00,147271
24.00,147272
23.00,147273
22.00,147274
20.00,147275
21.00,147276
22.00,147277
25.00,147278
24.00,147279
25.00,147280
26.00,147281
26.00,147282
27.00,147283
25.00,147284
26.00,147285
23.00,147286
24.00,170192
23.00,170193
24.00,170194
24.00,170195
20.00,170196
24.00,170197
22.00,170198
24.00,170199
23.00,170200
23.00,170201
22.00,170202
23.00,170203
22.00,170204
23.00,170205
22.00,170206
21.00,170207
24.00,170208
24.00,170209
23.00,170210
23.00,170211
22.00,170212
23.00,170213
21.00,170214
22.00,170215
21.00,170216
23.00,170217
23.00,170218
22.00,170219
22.00,170220
22.00,170221
23.00,170222
24.00,170223
22.00,170224
22.00,170225
24.00,170226
23.00,170227
22.00,170228
24.00,170229
22.00,170230
23.00,170231
23.00,170232
23.00,170233
22.00,170234
23.00,170235
24.00,170236
22.00,170237
24.00,170238
24.00,170239
24.00,170240
26.00,170241
22.00,170242
24.00,170243
23.00,170244
26.00,170245
24.00,170246
25.00,170247
26.00,170248
25.00,170249
27.00,170250
26.00,170251
25.00,170252
27.00,170253
27.00,170254
27.00,170255
28.00,170256
25.00,170257
27.00,170258
25.00,170259
24.00,170260
26.00,170261
25.00,170262
25.00,170263
24.00,170264
25.00,170265
26.00,170266
25.00,170267
24.00,170268
25.00,170269
24.00,170270
23.00,170271
23.00,170272
22.00,170273
23.00,170274
23.00,170275
23.00,170276
20.00,170277
21.00,170278
21.00,170279
22.00,170280
21.00,170281
21.00,170282
21.00,170283
21.00,170284
21.00,170285
23.00,170286
21.00,170287
21.00,170288
21.00,170289
22.00,170290
10.00,179646
13.00,179781
