













2023-06-15 10:57:53.799,"1.00,27879"
2023-06-15 10:57:53.820,"1.00,28063"
2023-06-15 10:57:53.873,"1.00,28515"
2023-06-15 10:57:54.111,"1.00,30504"
2023-06-15 10:57:54.221,"1.00,31425"
2023-06-15 10:57:54.344,"1.00,32463"
2023-06-15 10:57:54.356,"1.00,32510"
2023-06-15 10:57:54.369,"1.00,32664"
2023-06-15 10:57:54.512,"1.00,33844"
2023-06-15 10:57:54.528,"1.00,33971"
2023-06-15 10:57:54.614,"1.00,34689"
2023-06-15 10:57:54.729,"1.00,35643"
2023-06-15 10:57:54.819,"1.00,36395"
2023-06-15 10:57:55.016,"1.00,38050"
2023-06-15 10:57:55.102,"1.00,38762"
2023-06-15 10:57:55.114,"1.00,38868"
2023-06-15 10:57:55.323,"1.00,40641"
2023-06-15 10:57:55.605,"1.00,42984"
2023-06-15 10:57:55.634,"1.00,43235"
2023-06-15 10:57:55.737,"1.00,44100"
2023-06-15 10:57:55.794,"1.00,44569"
2023-06-15 10:57:55.831,"1.00,44859"
2023-06-15 10:57:55.904,"1.00,45476"
2023-06-15 10:57:56.236,"1.00,48285"
2023-06-15 10:57:56.273,"1.00,48562"
2023-06-15 10:57:56.310,"1.00,48890"
2023-06-15 10:57:58.092,"1.00,63858"
2023-06-15 10:57:58.411,"1.00,66523"
2023-06-15 10:57:58.505,"1.00,67304"
2023-06-15 10:57:58.718,"1.00,69089"
2023-06-15 10:57:58.980,"1.00,71284"
2023-06-15 10:58:04.624,"1.00,118709"
2023-06-15 10:58:04.776,"1.00,119948"
2023-06-15 10:58:04.842,"1.00,120496"
2023-06-15 10:58:05.042,"1.00,122201"
2023-06-15 10:58:05.067,"1.00,122386"
2023-06-15 10:58:05.124,"1.00,122884"
2023-06-15 10:58:05.309,"1.00,124401"
2023-06-15 10:58:05.419,"1.00,125346"
2023-06-15 10:58:05.538,"2.00,126327"
2023-06-15 10:58:05.780,"1.00,128343"
2023-06-15 10:58:05.915,"1.00,129482"
2023-06-15 10:58:06.230,"1.00,132134"
2023-06-15 10:58:06.533,"1.00,134675"
2023-06-15 10:58:07.025,"1.00,138806"
2023-06-15 10:58:07.172,"1.00,140048"
2023-06-15 10:58:10.285,"1.00,166175"
2023-06-15 10:58:10.338,"1.00,166626"
2023-06-15 10:58:10.355,"1.00,166736"
2023-06-15 10:58:10.379,"1.00,166948"
2023-06-15 10:58:10.461,"1.00,167643"
2023-06-15 10:58:10.510,"1.00,168030"
2023-06-15 10:58:10.650,"1.00,169212"
2023-06-15 10:58:10.682,"1.00,169478"
2023-06-15 10:58:10.748,"1.00,170027"
2023-06-15 10:58:10.854,"1.00,170902"
2023-06-15 10:58:10.867,"1.00,170908"
2023-06-15 10:58:11.088,"1.00,172883"
2023-06-15 10:58:11.153,"1.00,173419"
2023-06-15 10:58:12.911,"1.00,188163"
2023-06-15 10:58:13.201,"1.00,190622"
2023-06-15 10:58:13.259,"1.00,191081"
2023-06-15 10:58:13.398,"1.00,192256"
2023-06-15 10:58:13.599,"1.00,193935"
2023-06-15 10:58:13.697,"1.00,194765"
2023-06-15 10:58:13.771,"1.00,195375"
2023-06-15 10:58:13.783,"1.00,195442"
2023-06-15 10:58:13.844,"1.00,195969"
2023-06-15 10:58:13.857,"1.00,196005"
2023-06-15 10:58:13.983,"1.00,197138"
2023-06-15 10:58:14.061,"1.00,197792"
2023-06-15 10:58:15.667,"1.00,211268"
2023-06-15 10:58:16.044,"1.00,214420"
2023-06-15 10:58:16.236,"1.00,216044"
2023-06-15 10:58:16.310,"1.00,216658"
2023-06-15 10:58:16.527,"1.00,218464"
2023-06-15 10:58:16.560,"1.00,218750"
2023-06-15 10:58:16.695,"1.00,219886"
2023-06-15 10:58:16.806,"1.00,220803"
2023-06-15 10:58:17.199,"1.00,224103"
2023-06-15 10:58:17.264,"1.00,224654"
2023-06-15 10:58:17.354,"1.00,225389"
2023-06-15 10:58:17.379,"1.00,225618"
2023-06-15 10:58:17.412,"1.00,225885"
2023-06-15 10:58:17.678,"1.00,228099"
2023-06-15 10:58:17.715,"1.00,228399"
2023-06-15 10:58:17.912,"1.00,230067"
2023-06-15 10:58:17.973,"1.00,230586"
2023-06-15 10:58:17.994,"1.00,230744"
2023-06-15 10:58:19.726,"1.00,245292"
2023-06-15 10:58:19.849,"1.00,246303"
2023-06-15 10:58:19.910,"1.00,246813"
2023-06-15 10:58:19.972,"1.00,247336"
2023-06-15 10:58:20.123,"1.00,248612"
2023-06-15 10:58:20.398,"1.00,250906"
2023-06-15 10:58:20.418,"1.00,251072"
2023-06-15 10:58:20.557,"1.00,252230"
2023-06-15 10:58:21.483,"1.00,260007"
2023-06-15 10:58:21.511,"1.00,260253"
2023-06-15 10:58:21.823,"1.00,262844"
2023-06-15 10:58:21.909,"1.00,263583"
2023-06-15 10:58:21.983,"1.00,264184"
2023-06-15 10:58:22.245,"2.00,266397"
2023-06-15 10:58:26.422,"2.00,301479"
2023-06-15 10:58:26.464,"1.00,301816"
2023-06-15 10:58:26.591,"1.00,302872"
2023-06-15 10:58:26.627,"1.00,303162"
2023-06-15 10:58:26.660,"1.00,303447"
2023-06-15 10:58:26.824,"1.00,304821"
2023-06-15 10:58:26.877,"1.00,305279"
2023-06-15 10:58:27.090,"1.00,307036"
2023-06-15 10:58:27.598,"1.00,311310"
2023-06-15 10:58:27.733,"1.00,312445"
2023-06-15 10:58:27.803,"1.00,313037"
2023-06-15 10:58:28.073,"1.00,315296"
2023-06-15 10:58:28.212,"2.00,316467"
2023-06-15 10:58:28.331,"1.00,317437"
2023-06-15 10:58:28.655,"1.00,320169"
2023-06-15 10:58:28.671,"1.00,320206"
2023-06-15 10:58:28.696,"1.00,320501"
