valuvalue,time
2.00,205366
2.00,205370
2.00,205384
2.00,205387
2.00,205403
2.00,205409
2.00,205411
2.00,205414
2.00,205464
2.00,205465
2.00,205466
2.00,205499
2.00,205502
2.00,205524
2.00,205530
2.00,205539
2.00,205568
2.00,205608
2.00,206025
2.00,217088
2.00,217144
2.00,217175
2.00,217253
2.00,217254
2.00,217313
2.00,217319
2.00,217325
2.00,217345
2.00,217348
2.00,217361
2.00,217439
2.00,217440
2.00,217444
2.00,217509
2.00,217513
2.00,217542
2.00,217565
2.00,217590
2.00,217613
2.00,217643
2.00,217650
2.00,217733
2.00,217748
2.00,217753
2.00,217786
2.00,217870
2.00,217878
2.00,217884
2.00,217886
2.00,217888
2.00,217897
2.00,217898
2.00,217907
2.00,217913
2.00,217921
2.00,217940
2.00,217942
2.00,217964
2.00,217965
2.00,217976
2.00,217986
2.00,218013
2.00,218067
2.00,218073
2.00,218097
2.00,218098
2.00,218112
2.00,218115
2.00,218128
3.00,218154
2.00,218156
2.00,218177
2.00,218204
2.00,218210
2.00,218216
2.00,218261
2.00,218264
2.00,218269
2.00,218302
2.00,218348
2.00,218355
2.00,218359
2.00,218362
2.00,218365
2.00,218441
3.00,218470
2.00,218471
2.00,218512
2.00,218520
2.00,218547
2.00,218557
2.00,218569
2.00,218577
2.00,218599
2.00,218640
2.00,218643
2.00,218650
2.00,218656
2.00,218674
2.00,218702
2.00,218706
2.00,218716
2.00,218737
2.00,218762
2.00,218828
2.00,218840
2.00,218842
2.00,218849
2.00,218870
2.00,218874
2.00,218899
3.00,218913
2.00,218926
2.00,218931
2.00,218936
2.00,218962
4.00,218963
2.00,218981
2.00,218987
2.00,218998
2.00,219014
2.00,219042
2.00,219046
2.00,219057
2.00,219075
2.00,219107
2.00,219121
2.00,219142
2.00,219165
2.00,219210
2.00,219220
2.00,219223
2.00,219262
2.00,219285
2.00,219318
2.00,219322
2.00,219323
2.00,219342
2.00,219359
2.00,219401
2.00,219403
2.00,219405
2.00,219410
2.00,219411
2.00,219420
2.00,219489
2.00,219515
2.00,219598
2.00,219632
2.00,219640
2.00,219656
2.00,219683
2.00,219686
2.00,219726
2.00,219742
2.00,219751
2.00,219752
2.00,219797
2.00,219800
2.00,219834
2.00,219842
2.00,219864
2.00,219867
2.00,219886
2.00,219892
2.00,219903
2.00,219906
2.00,219920
2.00,219932
2.00,219940
2.00,219972
2.00,219981
2.00,220002
2.00,220013
2.00,220015
2.00,220027
2.00,220040
2.00,220079
2.00,220082
3.00,220143
2.00,220145
2.00,220162
2.00,220178
2.00,220187
2.00,220192
2.00,220196
2.00,220199
2.00,220201
2.00,220230
2.00,220246
2.00,220255
2.00,220276
2.00,220282
2.00,220312
2.00,220341
2.00,220415
2.00,220422
2.00,220468
2.00,220503
2.00,220519
2.00,220542
2.00,220550
2.00,220554
2.00,220563
2.00,220575
2.00,220607
2.00,220620
2.00,220683
2.00,220689
2.00,220693
2.00,220725
2.00,220728
2.00,220759
2.00,220777
2.00,220791
2.00,220807
2.00,220819
2.00,220829
2.00,220837
2.00,220889
2.00,220896
2.00,220903
2.00,220910
2.00,220935
2.00,220964
2.00,220965
2.00,220972
2.00,221495
2.00,232390
2.00,232456
2.00,232469
2.00,232494
2.00,232503
2.00,232516
2.00,232528
2.00,232534
2.00,232557
2.00,232589
2.00,232624
2.00,232631
2.00,232654
2.00,232657
2.00,232658
2.00,232662
2.00,232677
2.00,232691
2.00,232695
2.00,232702
2.00,232711
2.00,232762
2.00,232775
2.00,232795
2.00,232822
2.00,232837
2.00,232846
2.00,232851
2.00,232863
2.00,232870
2.00,232896
2.00,232903
2.00,232913
2.00,232927
2.00,232934
2.00,232936
2.00,232951
2.00,232973
2.00,233071
2.00,233080
2.00,233114
2.00,233153
2.00,233177
2.00,233179
2.00,233197
2.00,233254
2.00,233263
2.00,233276
2.00,233283
2.00,233294
2.00,233328
2.00,233338
2.00,233351
2.00,233383
2.00,233435
2.00,233486
2.00,233490
2.00,233498
2.00,233509
2.00,233510
2.00,233544
2.00,233560
2.00,233567
2.00,233580
2.00,233583
2.00,233590
2.00,233592
2.00,233601
2.00,233607
2.00,233624
2.00,233633
2.00,233639
2.00,233682
2.00,233688
2.00,233726
2.00,233771
2.00,233789
2.00,233828
2.00,233839
3.00,233850
2.00,233858
2.00,233914
2.00,233957
2.00,233963
2.00,233982
2.00,233989
3.00,234011
2.00,234022
2.00,234024
2.00,234025
2.00,234055
2.00,234086
2.00,234092
2.00,234093
2.00,234105
2.00,234140
2.00,234142
2.00,234157
2.00,234178
2.00,234212
2.00,234227
2.00,234239
2.00,234240
2.00,234325
2.00,234356
2.00,234440
2.00,234452
2.00,234467
2.00,234721
2.00,234727
2.00,234766
2.00,234778
2.00,234844
2.00,234845
2.00,234855
2.00,234895
2.00,234915
2.00,234947
2.00,235072
2.00,235075
2.00,235089
2.00,235122
2.00,235158
2.00,235173
3.00,235208
2.00,235265
2.00,235365
2.00,235416
2.00,235547
2.00,235559
2.00,235578
2.00,235630
2.00,235631
2.00,235661
2.00,235703
3.00,235773
2.00,235884
2.00,235886
2.00,235904
2.00,235923
2.00,235977
2.00,235995
6.00,236018
2.00,236963
2.00,237477
3.00,238674
2.00,239618
2.00,239934
2.00,240448
2.00,242044
2.00,243207
2.00,246490
2.00,247123
18.00,271033
2.00,277713
2.00,277924
2.00,277931
2.00,278013
2.00,278034
2.00,278048
3.00,278054
2.00,278148
2.00,278226
2.00,278236
2.00,278300
2.00,278328
2.00,278398
2.00,278401
2.00,278488
2.00,278515
2.00,278570
2.00,278578
2.00,278585
2.00,278620
2.00,278625
2.00,278688
2.00,278693
3.00,278697
2.00,278736
2.00,278791
2.00,278798
2.00,278853
2.00,278878
2.00,279017
2.00,279079
2.00,279089
2.00,279143
2.00,279167
2.00,279199
2.00,279255
2.00,279256
2.00,279380
2.00,279383
2.00,279475
2.00,279477
2.00,279511
2.00,279569
2.00,279575
2.00,279576
2.00,279580
2.00,279695
2.00,279703
2.00,279752
2.00,279800
2.00,279978
2.00,280007
2.00,280014
2.00,280018
2.00,280076
2.00,280161
2.00,280164
2.00,280236
2.00,280258
2.00,280305
2.00,280344
2.00,280351
2.00,280410
2.00,280495
2.00,280505
2.00,280543
2.00,280553
2.00,280579
2.00,280620
3.00,280624
2.00,280626
2.00,280749
2.00,280849
2.00,280938
2.00,280976
2.00,280987
2.00,281049
2.00,281094
2.00,281125
2.00,281155
2.00,281248
2.00,281256
2.00,281326
2.00,281357
2.00,281378
2.00,281434
2.00,281489
2.00,281522
2.00,281580
2.00,281581
2.00,281614
2.00,281653
2.00,281717
2.00,281719
2.00,281765
2.00,281818
2.00,281843
2.00,281853
2.00,281867
2.00,282093
2.00,282200
3.00,282203
2.00,282314
2.00,282318
2.00,282353
2.00,282368
3.00,282411
2.00,282545
2.00,282549
2.00,282556
3.00,282568
2.00,282610
2.00,282611
2.00,282700
2.00,282756
2.00,282787
